epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2615.15,0.84567,1.41748,1.56764,1.03491,0.2985,0.18488,0.14032,0.10039,0.30178,0.18233,0.14087,0.09424,0.92363,1.83084,2.56194,1.15774,0.0081586,0.0081586,0.0081586
95,2641.31,0.83916,1.40471,1.55242,1.03515,0.34722,0.18984,0.1545,0.11041,0.35512,0.19367,0.15517,0.10367,0.93716,1.84686,2.4381,1.16301,0.0081388,0.0081388,0.0081388
96,2667.69,0.85042,1.41402,1.59072,1.04037,0.30211,0.19173,0.14834,0.1065,0.30536,0.19037,0.14917,0.10058,0.93134,1.79888,2.46637,1.15274,0.008119,0.008119,0.008119
97,2693.84,0.84626,1.39166,1.54535,1.03747,0.3267,0.20268,0.15856,0.11628,0.32911,0.19989,0.1596,0.10886,0.89343,1.7901,2.38037,1.1259,0.0080992,0.0080992,0.0080992
98,2720.16,0.82869,1.3977,1.55609,1.03232,0.30217,0.19694,0.15395,0.11129,0.30414,0.19671,0.15481,0.10428,0.91069,1.77579,2.36201,1.13871,0.0080794,0.0080794,0.0080794
99,2746.94,0.84624,1.40023,1.51723,1.03115,0.32495,0.20756,0.16569,0.11981,0.32758,0.20776,0.16661,0.1132,0.90096,1.78301,2.31998,1.13079,0.0080596,0.0080596,0.0080596
100,2773.33,0.82192,1.37216,1.51999,1.02619,0.33774,0.20279,0.16123,0.11453,0.34316,0.20187,0.16387,0.10904,0.90366,1.75338,2.33466,1.13971,0.0080398,0.0080398,0.0080398
101,2799.71,0.82767,1.36934,1.49969,1.02464,0.29533,0.19145,0.1472,0.10478,0.29973,0.19152,0.14941,0.09911,0.92344,1.82797,2.44652,1.15758,0.00802,0.00802,0.00802
102,2826.08,0.8416,1.40016,1.54005,1.03413,0.31559,0.19568,0.15778,0.11378,0.31711,0.19464,0.16007,0.10746,0.90799,1.79771,2.36319,1.14007,0.0080002,0.0080002,0.0080002
103,2851.97,0.83273,1.36267,1.51565,1.031,0.30486,0.20037,0.14877,0.1074,0.31212,0.19689,0.15059,0.10052,0.91247,1.81616,2.50336,1.14871,0.0079804,0.0079804,0.0079804
104,2878.57,0.83455,1.37664,1.50458,1.02693,0.322,0.21318,0.16115,0.11889,0.32468,0.21306,0.16268,0.11224,0.88825,1.74188,2.30171,1.12159,0.0079606,0.0079606,0.0079606
105,2904.82,0.8196,1.34802,1.51225,1.02414,0.29487,0.20887,0.15657,0.11469,0.29956,0.20909,0.15794,0.10852,0.91091,1.78461,2.37606,1.14944,0.0079408,0.0079408,0.0079408
106,2931,0.83046,1.35148,1.49553,1.02148,0.29446,0.19308,0.14767,0.10644,0.30344,0.18655,0.14894,0.10133,0.92218,1.79356,2.47695,1.15821,0.007921,0.007921,0.007921
107,2957.47,0.83008,1.35938,1.4782,1.02915,0.31438,0.19939,0.16059,0.11571,0.32097,0.19843,0.16237,0.1102,0.90774,1.79627,2.39987,1.14562,0.0079012,0.0079012,0.0079012
108,2983.76,0.8237,1.36947,1.49538,1.02298,0.33312,0.19838,0.15708,0.11392,0.33707,0.19893,0.15805,0.10566,0.90548,1.81222,2.42951,1.13779,0.0078814,0.0078814,0.0078814
109,3009.99,0.82821,1.37921,1.43763,1.0137,0.32044,0.21335,0.16248,0.11741,0.32525,0.20797,0.16299,0.11029,0.91238,1.77681,2.44998,1.14621,0.0078616,0.0078616,0.0078616
110,3036.39,0.83899,1.38419,1.48669,1.02069,0.31314,0.21361,0.16478,0.1199,0.31688,0.21199,0.16666,0.11279,0.88967,1.72932,2.32156,1.12995,0.0078418,0.0078418,0.0078418
111,3062.89,0.84153,1.39348,1.44719,1.01996,0.32104,0.19669,0.16078,0.11678,0.32704,0.19475,0.1625,0.10982,0.89571,1.77715,2.36626,1.13382,0.007822,0.007822,0.007822
